rank,score,popularity,title,type,source,genres,demographic,rating
1,9.29,120,Sousou no Frieren,tv,manga,"Adventure, Drama, Fantasy",Shounen,pg_13
2,9.14,830,Chainsaw Man Movie: Reze-hen,movie,manga,"Action, Fantasy, Gore, Urban Fantasy",Shounen,r
3,9.1,3,Fullmetal Alchemist: Brotherhood,tv,manga,"Action, Adventure, Drama, Fantasy, Military",Shounen,r
4,9.07,14,Steins;Gate,tv,visual_novel,"Drama, Psychological, Sci-Fi, Suspense, Time Travel",,pg_13
5,9.05,21,Shingeki no Kyojin Season 3 Part 2,tv,manga,"Action, Drama, Gore, Military, Survival, Suspense",Shounen,r
6,9.05,1512,Gintama: The Final,movie,manga,"Action, Comedy, Drama, Gag Humor, Historical, Parody, Samurai, Sci-Fi",Shounen,pg_13
7,9.05,347,Gintama°,tv,manga,"Action, Comedy, Gag Humor, Historical, Parody, Samurai, Sci-Fi",Shounen,pg_13
8,9.04,4670,Kingdom 6th Season,tv,manga,"Action, Historical, Military",Seinen,r
9,9.03,8,Hunter x Hunter (2011),tv,manga,"Action, Adventure, Fantasy",Shounen,pg_13
10,9.02,753,Ginga Eiyuu Densetsu,ova,novel,"Adult Cast, Drama, Military, Sci-Fi, Space",,r
11,9.02,406,Gintama',tv,manga,"Action, Comedy, Gag Humor, Historical, Parody, Samurai, Sci-Fi",Shounen,pg_13
12,9.02,757,Gintama': Enchousen,tv,manga,"Action, Comedy, Gag Humor, Historical, Parody, Samurai, Sci-Fi",Shounen,pg_13
13,9.02,1862,One Piece Fan Letter,tv_special,light_novel,"Action, Adventure, Fantasy",Shounen,pg_13
14,8.99,351,Bleach: Sennen Kessen-hen,tv,manga,"Action, Adventure, Supernatural",Shounen,r
15,8.98,785,Gintama.,tv,manga,"Action, Comedy, Gag Humor, Historical, Parody, Samurai, Sci-Fi",Shounen,pg_13
16,8.96,165,Kaguya-sama wa Kokurasetai: Ultra Romantic,tv,manga,"Comedy, Romance, School",Seinen,pg_13
17,8.94,447,Fruits Basket: The Final,tv,manga,"Drama, Romance, Supernatural",Shoujo,pg_13
18,8.93,124,Clannad: After Story,tv,visual_novel,"Drama, Romance",,pg_13
19,8.93,146,Gintama,tv,manga,"Action, Comedy, Gag Humor, Historical, Parody, Samurai, Sci-Fi",Shounen,pg_13
20,8.93,19,Koe no Katachi,movie,manga,"Award Winning, Drama",Shounen,pg_13
21,8.91,587,Kusuriya no Hitorigoto 2nd Season,tv,light_novel,"Drama, Historical, Medical, Mystery",,pg_13
22,8.91,47,Code Geass: Hangyaku no Lelouch R2,tv,original,"Award Winning, Drama, Mecha, Military, Sci-Fi, Super Power",,r
23,8.9,601,3-gatsu no Lion 2nd Season,tv,manga,"Childcare, Drama, Strategy Game",Seinen,pg_13
24,8.89,1060,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,movie,manga,"Action, Comedy, Gag Humor, Historical, Parody, Samurai, Sci-Fi, Time Travel",Shounen,pg_13
25,8.89,119,Monster,tv,manga,"Adult Cast, Drama, Mystery, Psychological, Suspense",Seinen,r+
26,8.88,1235,Gintama. Shirogane no Tamashii-hen - Kouhan-sen,tv,manga,"Action, Comedy, Gag Humor, Historical, Parody, Samurai, Sci-Fi",Shounen,pg_13
27,8.86,294,Kusuriya no Hitorigoto,tv,light_novel,"Drama, Historical, Medical, Mystery",,pg_13
28,8.86,604,Owarimonogatari 2nd Season,tv_special,light_novel,"Comedy, Mystery, Supernatural, Vampire",,r
